"subjectIDs","rho","lambda","mu","rhoSE","lambdaSE","muSE","lrtp","isdifffrom1","gainseeking","gainlossneutral","lossaverse"
1,1.42528823008015,1.252821026914,37.7480457037891,0.149981660642284,0.18373508371522,7.88945306091097,0.167693814244027,0,0,1,0
7,1.67198347382787,0.929954087313333,28.1965634588722,0.285416190193047,0.29252464878838,7.53879062023212,0.809082054188878,0,0,1,0
8,0.825832235160942,1.10012497745475,19.8545192663126,0.0796374895261949,0.131334981070327,4.12797629075509,0.455386321968699,0,0,1,0
9,1.20908513279498,2.08895831695291,20.4462303499462,0.143914077406405,0.31971438303617,4.49356364390354,4.30820824386391e-05,1,0,0,1
18,1.06731506102601,1.86826999101724,8.16983549565346,0.272639674514623,0.51650778868121,2.65972978345571,0.0303595043148377,1,0,0,1
19,0.8489411504471,2.1710528062982,18.2709866845382,0.0885310666488708,0.241819797004914,4.18260633696123,1.77072023710423e-09,1,0,0,1
22,0.733572268690585,2.60259313369553,28.2335762662663,0.0605667186042649,0.245800027903223,6.24979541963554,0,1,0,0,1
23,0.659818996808892,0.284706971297484,10.9597779111834,0.138145932223824,0.258110226502184,3.41625815714776,2.97935798190263e-05,1,1,0,0
24,0.943064886976901,0.727834122542719,29.3098709597126,0.0675727285962886,0.113445544771147,5.58343856182846,0.0109860453184455,1,1,0,0
26,1.40029144076183,1.39766604030558,11.084726064431,0.24995801351471,0.459137751171778,3.24303265963703,0.377348423977719,0,0,1,0
27,1.21099012883385,0.393797655668328,14.7454970686607,0.172756155173734,0.271344254270508,3.6381471552963,0.00893984043811169,1,1,0,0
29,0.85999040860763,2.64429983811428,11.3825092480715,0.117704924522436,0.49521611439433,3.17174386671606,9.86490822363351e-09,1,0,0,1
30,1.36064090125275,2.38991880451752,33.4891205991426,0.141846482899108,0.343951037339901,6.93658857030381,9.15426449088486e-08,1,0,0,1
31,0.820045483706723,1.05379287778375,35.4288104987104,0.054340215311272,0.0864137470358395,6.98780172884803,0.541283191946218,0,0,1,0
34,1.50589680979967,0.12280839505518,54.9836782870305,0.145689357105587,0.209124340905026,13.9227244334489,3.30389049452151e-11,1,1,0,0
35,0.971587167236077,1.47094729272932,31.6379211976074,0.0684504032764408,0.12885479257988,6.08579201911218,0.000371365980558869,1,0,0,1
37,1.41042808671197,4.47277269695145,11.1900340007602,0.26205222036305,1.33308391903039,3.74228495216934,3.02340318336647e-06,1,0,0,1
