subject,source,target,kind,event,onset_s,offset_s,duration_s,peak,t_peak_s,t_rise50_s,mean_change,peak_lo,peak_hi,n_windows
CLASE001,L_DLPFC,L_LOF,contrast,OUTCOME - CHOICE,0.3500,1.7500,1.4000,-0.013945,0.8000,0.4313,-0.009122,-0.018092,-0.009575,29
CLASE001,L_LOF,L_DLPFC,contrast,OUTCOME - CHOICE,0.2500,1.7500,1.5000,-0.008106,0.8500,0.3182,-0.006098,-0.011591,-0.004853,31
